,,,,,,Daily Price Report-01-01-2023 to 31-12-2023,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,04-10-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,500.00","23,600.00","23,600.00",Rs./Quintal,03-10-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,500.00","23,600.00","23,600.00",Rs./Quintal,02-10-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,600.00","23,700.00","23,700.00",Rs./Quintal,30-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,600.00","23,700.00","23,700.00",Rs./Quintal,29-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,600.00","23,700.00","23,700.00",Rs./Quintal,28-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,500.00","23,600.00","23,600.00",Rs./Quintal,27-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,500.00","23,600.00","23,600.00",Rs./Quintal,26-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,600.00","23,700.00","23,700.00",Rs./Quintal,25-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,600.00","23,700.00","23,700.00",Rs./Quintal,24-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,600.00","23,700.00","23,700.00",Rs./Quintal,23-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,500.00","23,600.00","23,600.00",Rs./Quintal,21-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,400.00","23,500.00","23,500.00",Rs./Quintal,20-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,100.00","23,200.00","23,200.00",Rs./Quintal,19-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,000.00","23,100.00","23,100.00",Rs./Quintal,18-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"22,900.00","23,000.00","23,000.00",Rs./Quintal,16-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"22,900.00","23,000.00","23,000.00",Rs./Quintal,15-09-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,100.00","23,200.00","23,200.00",Rs./Quintal,14-09-2023
